id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,review_scores_rating
28970213,360度 顶级全景豪华大平层!稀缺房源|免费停车|免费电车(BEC)|三房两卫,218364549,Esther,,Melbourne,-37.82074,144.94213,Entire home/apt,495,1,11,20/03/19,1.76,5,340,100
28970796,LUXICO - Wisteria Place,11914644,Luxico Holiday Homes,,Stonnington,-37.84032,145.00349,Entire home/apt,5694,7,0,,,70,364,93.5
28971461,"Free WiFi, close to airport and train station,city",54027231,Yogs,,Hume,-37.69135,144.91762,Private room,25,1,0,,,6,365,100
28971575,270 degree luxury seascape apartment,218364549,Esther,,Melbourne,-37.82043,144.94144,Entire home/apt,1001,180,7,21/02/19,1.12,5,0,98
28972630,2B BrandNew APT/Boutique/Waterview/GYM/HotTub/Pool,160949402,Mogen,,Melbourne,-37.82023,144.94354,Entire home/apt,189,1,1,18/10/18,0.17,1,0,100
28973159,Incredible Morning In Harbour NO.2,218364549,Esther,,Melbourne,-37.8209,144.94228,Entire home/apt,388,1,8,25/03/19,1.29,5,332,87
28973698,Comfortable Cosy Private Room,69483267,Stephanie,,Darebin,-37.71037,145.02183,Private room,39,1,0,,,2,0,96
28973871,unique architectural style comfortable home,25017266,Shaoping,,Kingston,-37.93714,145.04122,Private room,99,1,1,18/01/19,0.37,3,342,93.5
28973892,顶级海景设计奖豪华大平层|超大空间､设施齐全､拎包入住,218364549,Esther,,Melbourne,-37.81462,144.93972,Entire home/apt,457,1,10,02/03/19,1.6,5,342,93.5
28974746,墨尔本中心270°海景豪华公寓|坐拥无与伦比维港海景､豪华尊贵享受,218364549,Esther,,Melbourne,-37.81445,144.94028,Entire home/apt,258,180,10,28/03/19,1.61,5,357,100
28976169,Chez Yarra 雅拉小筑,108445315,Weilan,,Stonnington,-37.83697,144.99672,Entire home/apt,142,2,3,13/12/18,0.63,3,151,92
28977909,"Chic warehouse apartment in hipster, foodie hub",36410227,Sabrina,,Yarra,-37.80569,144.98485,Entire home/apt,139,3,13,19/03/19,2.36,67,107,100
28978189,Vermont sth stay,203066092,Sambhav,,Whitehorse,-37.85586,145.17173,Private room,35,1,2,08/11/18,0.39,1,0,100
28985273,Nice bright and clean,172761989,Stacey,,Banyule,-37.70097,145.07,Private room,39,1,24,21/03/19,3.98,3,15,93.5
28985472,"Amazing views @ lvl42, 2 bed, free wifi+netflix.",6142333,Antonio And Stevie,,Melbourne,-37.82815,144.9574,Entire home/apt,149,1,17,30/03/19,3.17,2,74,100
28985983,Living by the Clouds - 2BR Apt @ EQ Tower #6,108813610,HugoHome,,Melbourne,-37.81076,144.95851,Entire home/apt,125,1,10,20/03/19,1.79,37,40,100
28986534,"2BR2BthCentral, 34th Flr,MCG-Crown Nflx- Pool&Gym.",210385594,Kerry & Mark,,Melbourne,-37.82265,144.96364,Entire home/apt,198,1,41,30/03/19,6.95,2,147,93.5
28986926,Home - 15 minutes from Melbourne CBD (1 Bdr),44583704,Simon,,Brimbank,-37.78152,144.8072,Entire home/apt,87,3,0,,,1,0,93.5
28988251,Brand New and perfectly located*Near RMIT&Market,204661584,Weyou Stay,,Melbourne,-37.80554,144.96226,Entire home/apt,129,1,5,25/02/19,0.89,26,172,100
28988399,Light-filled family home in perfect location,1992173,Dale,,Yarra,-37.78179,144.97954,Entire home/apt,300,2,8,02/03/19,1.89,1,258,93.5
28989009,Luxurious apartment on the water,17224894,Dee,,Melbourne,-37.81416,144.94328,Entire home/apt,198,1,4,15/02/19,0.65,1,59,85
28989024,LUXICO - Belle Residence,11914644,Luxico Holiday Homes,,Stonnington,-37.83823,144.98669,Entire home/apt,383,3,0,,,70,365,93.5
28989711,Two bedroom Apt in perfectly located*Near RMIT,204661584,Weyou Stay,,Melbourne,-37.80573,144.96083,Entire home/apt,160,1,9,12/02/19,1.58,26,96,100
28991375,"Opposite Flemington Race Course, sunny one bedroom",193799781,Carmel,,Melbourne,-37.79457,144.91547,Entire home/apt,99,2,15,28/03/19,2.43,1,60,93.5
28991444,Wonderful private room in Point Cook,138814007,Chengming,,Wyndham,-37.9012,144.76027,Private room,37,1,0,,,3,75,93.5
28991835,Bedroom 3:  key lockable door - 2 single beds,217660621,Bridget,,Monash,-37.91422,145.12162,Private room,70,1,8,10/03/19,1.46,4,0,90
28992027,Amazing and cozy room Hawthorn (only for females),71392035,Laura,,Boroondara,-37.8199,145.04568,Private room,35,1,3,04/11/18,0.54,1,281,84
28992264,"Bedrm 1 : queen, comfortable for 2-garden outlook",217660621,Bridget,,Monash,-37.91513,145.11988,Private room,55,3,13,10/03/19,2.17,4,0,100
28992541,Regain The Inner Peace in This Delicate Townhouse,147033309,LivingIt,,Whitehorse,-37.81174,145.10872,Entire home/apt,229,1,12,22/03/19,2.18,108,2,87
28992856,Cozy place in Heart of Melbourne,64183117,Kate,,Melbourne,-37.82379,144.96328,Private room,100,1,4,12/02/19,0.65,2,0,100
28995785,SPRINGVALE LUXURY HOME,97610051,Ha,,Greater Dandenong,-37.93804,145.16038,Entire home/apt,355,2,10,31/03/19,2.86,1,0,96
28996182,Chic CBD apartment with parkland views (whole apt),216835033,Andre,,Melbourne,-37.80859,144.9708,Entire home/apt,93,3,3,13/03/19,0.7,2,8,100
28996769,Home away Home,218555593,Steve,,Glen Eira,-37.88435,145.05962,Private room,99,2,0,,,1,6,93.5
28997081,Self contained gorgeous backyard bungalow,519302,Eleanna,,Darebin,-37.71199,145.02037,Entire home/apt,70,2,9,04/03/19,1.61,1,23,100
28998074,Kelwick House. Belgrave home with a view,75854855,Ann,,Yarra Ranges,-37.90494,145.35397,Private room,120,2,2,23/03/19,1.33,1,50,100
28998340,Lovely place in Heart of Melbourne,64183117,Kate,,Melbourne,-37.82429,144.96301,Private room,70,1,3,25/01/19,0.91,2,0,93.5
28998782,Elegant Garden Retreat,14912469,Mary,,Yarra Ranges,-37.85992,145.37871,Entire home/apt,218,1,0,,,16,320,100
28998859,Luxurious Art Deco Cottage,14912469,Mary,,Yarra Ranges,-37.86119,145.37717,Entire home/apt,274,1,1,09/12/18,0.25,16,319,98
28999220,Fitzroy Home with a View,5247671,Courtney,,Yarra,-37.80153,144.98005,Private room,61,3,3,19/12/18,0.54,1,0,98
29001335,Spacious room in a feature house close to station,70914237,Elle,,Boroondara,-37.81944,145.09509,Private room,89,2,0,,,1,364,97
29001636,"2BDR 2BTH Waterfront, Brand NEW Apt, Docklands",74569189,Gib,,Melbourne,-37.8216,144.94301,Entire home/apt,190,2,12,20/01/19,2.18,1,0,90
29002252,"Quiet, Safe and Carefree apartment",218590403,Suping,,Melbourne,-37.81092,144.97138,Private room,51,2,11,01/04/19,1.89,1,0,95
29011441,"D110 Sweet Melon super stay-fantastic, large group",122979750,Dee,,Maribyrnong,-37.78193,144.85986,Entire home/apt,184,7,8,18/03/19,1.71,16,347,100
29011860,D111 Special Melbourne retreat- relaxingfulfilling,122979750,Dee,,Maribyrnong,-37.78005,144.85914,Entire home/apt,155,5,6,20/03/19,1.27,16,34,92
29011979,"Footscray Terrace House,  close to everything.",218666241,Anthony,,Maribyrnong,-37.80284,144.89319,Private room,61,2,20,23/03/19,3.26,2,354,100
29012002,Beautiful views & Private room with ensuite,20417929,Jenny,,Melbourne,-37.81441,144.94799,Private room,96,1,28,23/03/19,4.49,1,47,50
29012347,Double size room. Close to seaford beach.,209861154,Shams,,Frankston,-38.11792,145.15129,Private room,184,1,0,,,1,179,93.5
29012632,Cozy 1BD Apt In Melbourne's Elwood!,6017236,Vicki,,Port Phillip,-37.8752,144.97939,Entire home/apt,96,2,5,19/03/19,0.85,1,163,93.5
29016861,Modern Richmond Retreat,89089828,Alice,,Yarra,-37.82925,145.01074,Entire home/apt,599,2,0,,,2,0,93.5
29018129,VIGNACOURT ON RICHMOND HILL ONE ROOM FOR RENT,17898106,Chelo,,Yarra,-37.82187,144.99434,Private room,139,2,0,,,3,72,85
29018340,NEW Cosy stay with luxury Madison  bed on Lygon St,13801169,Nick,,Melbourne,-37.79455,144.96645,Private room,65,2,15,20/02/19,2.57,3,247,100
29020666,One bedroom. Shared Large bathroom with 1 person,50774942,Peter,,Frankston,-38.10871,145.15049,Private room,75,3,0,,,3,311,95
29021065,Close to Beach.Home away 3bed 2 Bath Huge Smart Tv,171545421,Alex,,Bayside,-37.97256,145.0207,Entire home/apt,180,3,3,10/01/19,0.55,1,157,92
29022386,1 bedroom in cosy cottage house,12456374,Erwane,,Moonee Valley,-37.7712,144.90659,Private room,99,2,12,03/02/19,2.09,2,220,85
29022880,Cheap and cheerful in the heart of Melbourne!,179106566,Zara,,Melbourne,-37.82561,144.96571,Shared room,61,1,3,20/10/18,0.51,1,0,80
29024396,Family oasis w/byard in the heart of St Kilda,23406050,Louise And Stephen,,Port Phillip,-37.86132,144.98262,Entire home/apt,191,2,14,30/03/19,4.33,2,264,76
29024400,Close to City Cozy&Clean  Living room(Female only),196535032,Sara,,Melbourne,-37.82502,144.96239,Shared room,45,1,10,23/01/19,1.79,2,0,100
29025218,*Female Only* cozy shared space near Vic Market,5777873,Maria,,Melbourne,-37.80432,144.95872,Shared room,39,3,3,18/03/19,0.83,1,149,93.5
29025488,Deluxe King bed  room with bath and balcony in CBD,102587056,Jocelyn,,Melbourne,-37.81856,144.94689,Private room,108,1,3,30/03/19,0.57,2,342,93.5
